raceId,driverId,constructorId,rank,points,grid,position,positionOrder,positionText,firstLapChange,pitStops
46,25,3,13,0,12,14,14,14,-2,
46,11,8,10,0,19,15,15,15,4,
46,20,5,16,0,20,16,16,16,2,
46,16,12,19,0,21,17,17,17,1,
46,22,11,17,0,18,18,18,18,-3,
48,4,1,1,10,1,1,1,1,0,
48,1,1,2,8,2,2,2,2,0,
48,8,6,3,6,5,3,3,3,1,
48,2,2,4,5,4,4,4,4,-1,
48,9,2,5,4,6,5,5,5,0,
48,3,3,8,3,8,6,6,6,0,
48,5,4,7,2,7,7,7,7,0,
48,18,11,9,1,10,8,8,8,1,
48,17,9,13,0,11,9,9,9,1,
48,22,11,12,0,12,10,10,10,1,
48,15,7,10,0,9,11,11,11,-4,
48,21,4,14,0,15,12,12,12,1,
48,25,3,16,0,13,13,13,13,1,
48,19,8,17,0,14,14,14,14,-2,
48,23,7,15,0,18,15,15,15,0,
48,11,8,11,0,17,16,16,16,0,
48,24,5,19,0,19,17,17,17,0,
48,20,5,18,0,16,18,18,18,-6,
48,16,12,20,0,21,19,19,19,1,
48,29,12,21,0,22,20,20,20,1,
49,8,6,2,10,1,1,1,1,0,
49,13,6,1,8,2,2,2,2,0,
49,4,1,3,6,3,3,3,3,0,
49,1,1,4,5,4,4,4,4,0,
49,2,2,5,4,6,5,5,5,-2,
49,3,3,9,3,5,6,6,6,0,
49,17,9,11,2,7,7,7,7,0,
49,5,4,8,1,9,8,8,8,3,
49,9,2,6,0,14,9,9,9,1,
49,23,7,10,0,10,10,10,10,1,
49,15,7,7,0,8,11,11,11,-3,
49,24,5,13,0,13,12,12,12,-1,
49,22,11,12,0,17,13,13,13,0,
49,16,12,15,0,19,14,14,14,4,
49,11,8,14,0,18,15,15,15,-1,
49,19,8,19,0,20,16,16,16,-1,
49,29,12,20,0,21,17,17,17,1,
50,1,1,1,10,1,1,1,1,0,
50,5,4,9,8,11,2,2,2,0,
50,8,6,8,6,3,3,3,3,0,
50,14,9,11,5,12,4,4,4,0,
50,21,4,12,4,10,5,5,5,0,
50,13,6,7,3,4,6,6,6,0,
50,9,2,4,2,9,7,7,7,0,
50,16,12,18,1,20,8,8,8,2,
50,24,5,13,0,14,9,9,9,-8,
50,22,11,15,0,17,10,10,10,1,
50,18,11,19,0,6,11,11,11,0,
50,29,12,20,0,22,12,12,12,2,
50,15,7,21,0,13,13,13,13,0,
50,2,2,6,0,5,14,14,14,0,
50,11,8,16,0,21,15,15,15,2,
51,8,6,3,10,2,1,1,1,0,
51,4,1,2,8,4,2,2,2,0,
51,13,6,1,6,3,3,3,3,0,
51,20,5,13,5,17,4,4,4,5,
51,18,11,5,4,10,5,5,5,-1,
51,24,5,11,3,11,6,6,6,4,
51,2,2,7,2,8,7,7,7,2,
51,14,9,10,1,5,8,8,8,0,
51,5,4,8,0,13,9,9,9,3,
51,17,9,9,0,7,10,10,10,-1,
51,21,4,4,0,18,11,11,11,0,
51,25,3,12,0,19,12,12,12,2,
51,15,7,14,0,12,13,13,13,-1,
51,11,8,15,0,20,14,14,14,4,
51,22,11,16,0,16,15,15,15,1,
51,3,3,6,0,15,16,16,16,-4,
51,29,12,17,0,22,17,17,17,1,
52,8,6,1,10,3,1,1,1,1,
