DriverId,DriverName,FirstLapChangeList,FirstLapChangeMin,FirstLapChangeMax,FirstLapChangeFirstQuartile,FirstLapChangeMedian,FirstLapChangeThirdQuartile,FirstLapChangeMean,FirstLapChangeSd
63,Mika Salo,"6,6,12,8,9,7,8,10,5,4,5,5,7,10,13,10,15,8,7,8,9,5,2,14,9,15,10,12,13,7,9,7,11,7,8,11,7,3,5,6,13,5,7,14,10,10,6,7,9,9,8,10,6,10,8,",2,15,6,8,10,8,2.8284271247461903
66,Allan McNish,"7,8,11,14,9,14,",7,14,8,11,11,10,2.6457513110645907
67,SÃ©bastien Buemi,"7,8,16,11,13,17,16,14,10,10,8,10,18,12,16,12,8,12,12,13,11,10,8,14,7,13,12,16,15,10,",7,18,10,12,14,11,3.1622776601683795
69,Luca Badoer,"10,8,15,10,13,10,10,14,8,13,14,10,11,12,11,8,10,14,7,9,",7,15,10,10,13,10,2.2360679774997898
153,Jaime Alguersuari,"11,11,9,14,13,10,16,11,12,8,10,15,15,10,13,15,7,13,14,11,11,12,11,15,",7,16,11,12,14,11,2.4494897427831779
154,Romain Grosjean,"10,6,6,11,11,13,3,3,12,7,5,8,4,22,8,8,10,8,12,13,8,2,13,10,14,10,6,19,12,13,18,13,3,6,7,14,8,3,13,7,15,8,16,11,15,6,9,7,19,11,13,17,8,15,3,16,19,3,15,7,11,9,10,20,15,14,7,6,",2,22,7,10,14,10,4.6904157598234297
155,Kamui Kobayashi,"6,7,13,13,15,12,10,5,5,13,7,9,6,11,15,11,4,16,9,11,18,8,12,13,9,17,10,10,18,10,10,9,9,9,7,13,3,19,16,",3,19,8,10,13,10,4.0
807,Nico HÃ_lkenberg,"6,7,7,11,10,9,8,5,14,8,16,14,12,12,5,13,15,9,16,10,15,10,15,6,8,11,5,11,6,13,12,5,8,8,8,10,12,10,8,7,7,6,13,9,7,7,6,11,11,10,17,14,4,13,10,4,6,7,21,5,12,7,10,13,15,15,10,6,15,12,8,5,8,8,6,7,10,10,7,6,8,6,8,7,7,9,6,19,13,",4,21,7,9,12,9,3.6055512754639891
808,Vitaly Petrov,"3,17,16,16,11,11,17,13,17,5,19,13,12,10,16,5,12,19,9,9,14,13,15,7,9,18,16,10,11,10,9,17,",3,19,10,13,16,12,4.1231056256176606
810,Lucas di Grassi,"14,19,19,18,17,20,",14,20,17,19,19,17,2.0
811,Bruno Senna,"16,16,6,22,10,17,9,19,17,17,7,13,12,9,10,16,7,21,17,15,16,14,",6,22,10,16,17,13,4.4721359549995796
812,Karun Chandhok,"14,15,14,18,19,17,20,",14,20,14,17,17,16,2.2360679774997898
813,Pastor Maldonado,"13,19,11,14,15,15,1,14,15,18,13,16,7,14,16,11,17,15,12,16,13,10,13,14,10,17,11,11,14,14,18,8,14,14,16,12,10,14,15,14,8,16,16,8,11,12,7,",1,19,11,14,15,13,3.3166247903553998
814,Paul di Resta,"10,10,8,10,7,6,4,12,14,7,12,7,9,18,11,7,15,9,11,7,12,18,11,10,8,8,11,12,8,8,19,11,13,11,12,12,11,",4,19,8,11,12,10,3.3166247903553998
815,Sergio PÃ©rez,"8,11,10,10,13,7,2,9,13,6,6,11,6,3,8,16,7,9,9,9,13,7,4,11,16,7,3,13,3,11,11,11,10,5,7,20,11,9,6,9,6,10,10,15,14,9,11,8,11,8,5,5,17,2,12,7,6,8,9,17,11,11,9,11,11,9,13,6,15,12,4,9,11,8,8,15,10,12,7,7,8,10,7,6,9,17,7,",2,20,7,9,11,9,3.6055512754639891
816,JÃ©rÃ´me d'Ambrosio,"14,20,15,15,17,19,17,13,20,19,18,21,",13,21,15,18,20,17,2.4494897427831779
